radius_meters,radius_in_Schwarzschild_radii,earth_years_per_1s_near_blackhole
29836.67820605959,1.01,10.049875621120886
30230.89108079775,1.0233444816053512,6.620927141855973
30625.103955535917,1.0366889632107024,5.315651714036641
31019.316830274078,1.0500334448160535,4.58111678699013
31413.529705012243,1.0633779264214047,4.096140148492842
31807.742579750404,1.076722408026756,3.7461983054396835
32201.95545448857,1.090066889632107,3.478916392321102
32596.16832922673,1.1034113712374582,3.266514415932596
32990.38120396489,1.1167558528428094,3.0927142000009358
33384.594078703056,1.1301003344481606,2.947265736464352
33778.80695344122,1.1434448160535118,2.823352968808014
34173.01982817938,1.1567892976588627,2.7162448984071506
34567.23270291754,1.1701337792642141,2.6225421904690593
34961.44557765571,1.1834782608695653,2.5397316722096144
35355.658452393865,1.1968227424749163,2.4659103144365413
35749.87132713203,1.2101672240802674,2.399607436598164
36144.084201870195,1.2235117056856188,2.3396663448912385
36538.29707660836,1.23685618729097,2.2851632752557967
36932.50995134652,1.250200668896321,2.2353505033314764
37326.72282608468,1.2635451505016722,2.1896155469978793
37720.93570082285,1.2768896321070236,2.1474513471368435
38115.148575561005,1.2902341137123745,2.108434099880213
38509.36145029917,1.3035785953177257,2.072206524702101
38903.574325037334,1.3169230769230769,2.0384650612225963
39297.7871997755,1.3302675585284283,2.0069499498656715
39692.00007451366,1.3436120401337792,1.9774374594348747
40086.21294925182,1.3569565217391304,1.9497337336559337
40480.42582398999,1.3703010033444818,1.923669873015331
40874.638698728144,1.3836454849498327,1.8990979693991543
41268.85157346631,1.396989966555184,1.8758878830092416
41663.06444820447,1.410334448160535,1.8539246029132757
42057.27732294264,1.4236789297658865,1.8331060704410542
42451.490197680796,1.4370234113712375,1.813341372576216
42845.70307241896,1.4503678929765886,1.7945492333282893
43239.915947157126,1.4637123745819398,1.7766567467625267
43634.12882189528,1.4770568561872908,1.7595983072930605
44028.34169663345,1.4904013377926422,1.7433147019898352
44422.55457137161,1.5037458193979933,1.7277523367177352
44816.76744610978,1.5170903010033445,1.7128625734306717
45210.980320847935,1.5304347826086957,1.6986011602608024
45605.1931955861,1.5437792642140469,1.684927739452447
45999.406070324265,1.557123745819398,1.6718054208998072
46393.61894506242,1.570468227424749,1.6592004112140593
46787.83181980059,1.5838127090301004,1.6470816899875396
47182.04469453875,1.5971571906354516,1.6354207263313785
47576.25756927692,1.6105016722408028,1.6241912299077659
47970.470444015074,1.6238461538461537,1.613368931613117
48364.68331875324,1.6371906354515051,1.6029313898357223
48758.8961934914,1.650535117056856,1.592857818843976
49153.10906822956,1.6638795986622072,1.5831289363848868
49547.32194296773,1.6772240802675584,1.5737268280078234
49941.53481770589,1.6905685618729098,1.5646348259916523
50335.747692444056,1.703913043478261,1.5558374010576927
50729.960567182214,1.717257525083612,1.5473200653066599
51124.17344192038,1.7306020066889631,1.5390692850335455
51518.386316658536,1.7439464882943143,1.531072402257015
51912.5991913967,1.7572909698996655,1.5233175639549437
52306.812066134866,1.7706354515050167,1.5157936581298128
52701.02494087303,1.7839799331103678,1.5084902559404865
53095.237815611195,1.7973244147157192,1.5013975592335573
53489.45069034935,1.8106688963210702,1.4945063528904736
53883.66356508752,1.8240133779264214,1.4878079614781754
54277.876439825675,1.8373578595317723,1.481294209752724
54672.08931456384,1.8507023411371237,1.474957386618869
55066.302189302005,1.864046822742475,1.4687902121948935
55460.51506404017,1.877391304347826,1.4627858076724185
55854.727938778335,1.8907357859531775,1.4569376676960253
56248.94081351649,1.9040802675585284,1.4512396350182841
56643.15368825466,1.9174247491638796,1.4456858772126686
57037.366562992815,1.9307692307692306,1.440270865250442
57431.57943773098,1.944113712374582,1.4349893537683338
57825.792312469144,1.9574581939799331,1.4298363628720978
58220.00518720731,1.9708026755852843,1.4248071613371485
58614.218061945474,1.9841471571906355,1.4198972510817263
59008.43093668363,1.9974916387959867,1.4151023528006477
59402.643811421796,2.0108361204013376,1.410418392658877
59796.856686159954,2.024180602006689,1.405841489954113
60191.06956089812,2.03752508361204,1.4013679456663959
60585.28243563628,2.050869565217391,1.396994231820652
60979.49531037445,2.0642140468227423,1.3927169815951055
61373.70818511261,2.077558528428094,1.3885329801147848
61767.92105985077,2.0909030100334447,1.3844391558749787
62162.133934588936,2.104247491638796,1.3804325727445421
62556.34680932709,2.117591973244147,1.3765104225034819
62950.55968406526,2.1309364548494982,1.372670017873326
63344.77255880342,2.1442809364548494,1.3689087860024467
63738.98543354159,2.1576254180602006,1.3652242623718016
64133.19830827975,2.1709698996655518,1.3616140850895564
64527.41118301792,2.1843143812709034,1.3580759895457206
64921.62405775607,2.197658862876254,1.3546078034003906
65315.83693249423,2.2110033444816053,1.3512074418813749
65710.0498072324,2.2243478260869565,1.347872903368995
66104.26268197056,2.2376923076923076,1.3446022652476592
66498.47555670873,2.251036789297659,1.3413936800054616
66892.68843144689,2.26438127090301,1.3382453715645546
67286.90130618506,2.2777257525083616,1.3351556318264102
67681.1141809232,2.2910702341137124,1.3321228174173296
68075.32705566137,2.3044147157190635,1.3291453466207015
